hospital_id,hospital_name,chain,city,state,city_tier,latitude,longitude,nabh_accredited,jci_accredited,rating,review_score,total_reviews,beds,icu_beds,opd_per_day,occupancy_rate,avg_wait_time_min,avg_length_of_stay_days,emergency_24x7,ambulance_available,cashless_insurance,ct_mri_available,inhouse_critical_care,consultation_fee_inr,year_established,ownership_type,specializations
hosp_001,Apollo Hospitals,Apollo,Mumbai,Maharashtra,metro,19.040864,72.893995,false,false,4.7,0.7,13327,474,75,1076,0.73,86,4.4,false,true,true,true,false,800,2022,private,pulmonology|orthopedics|neurology|general_surgery|nephrology|ophthalmology
hosp_002,Fortis Hospital,Fortis,Delhi,Delhi,metro,28.594042,77.198108,true,false,4.5,0.87,9901,823,84,1723,0.68,60,3,false,true,false,false,false,1000,1997,private,oncology|orthopedics|gastroenterology|pulmonology|pediatrics
hosp_003,Manipal Institute of Medical Sciences,Manipal,Bengaluru,Karnataka,metro,13.012376,77.619653,true,false,4.4,0.82,23472,831,136,340,0.56,16,2.6,true,true,true,true,true,800,1998,private,cardiology|orthopedics|neurology|urology
hosp_004,Max Multispeciality Hospital,Max,Hyderabad,Telangana,metro,17.410155,78.459612,true,false,4.5,0.76,14835,723,91,206,0.75,51,6.2,true,true,true,true,true,600,2017,private,cardiology|oncology|ent|dermatology|neurology
hosp_005,Narayana Care Hospital,Narayana,Chennai,Tamil Nadu,metro,13.057403,80.234136,true,false,4.4,0.78,4804,244,32,1048,0.71,72,5.4,true,false,false,false,true,1050,1998,private,cardiology|nephrology|neurology|urology|oncology|general_surgery
hosp_006,Aster Hospitals,Aster,Kolkata,West Bengal,metro,22.519868,88.319889,true,false,4.4,0.76,17984,606,85,163,0.87,35,3,true,true,false,true,true,750,1987,private,nephrology|general_surgery|gynecology|orthopedics|cardiology|dermatology
hosp_007,Kokilaben Hospital,Kokilaben,Pune,Maharashtra,tier2,18.468062,73.884523,true,true,4.3,0.97,22082,220,38,190,0.77,31,3.6,true,true,false,true,true,750,1986,private,orthopedics|pulmonology|gastroenterology|gynecology|nephrology|cardiology
hosp_008,Lifeline Institute of Medical Sciences,Lifeline,Ahmedabad,Gujarat,tier2,23.057637,72.593926,false,false,4.3,0.82,9648,885,131,1092,0.62,70,4.6,false,true,true,false,true,550,2018,private,oncology|orthopedics|gynecology|neurology|pediatrics
hosp_009,Care Multispeciality Hospital,Care,Jaipur,Rajasthan,tier2,26.956844,75.764992,false,false,4.2,0.75,2132,796,93,398,0.58,56,5.6,false,false,false,false,false,750,2020,private,cardiology|orthopedics|nephrology|general_surgery|urology
hosp_010,Park Care Hospital,Park,Lucknow,Uttar Pradesh,tier2,26.838725,80.942674,false,false,3.7,0.9,5814,705,123,1325,0.83,60,4.3,true,true,true,false,false,700,1992,private,pulmonology|oncology|neurology|ent|cardiology|general_surgery
hosp_011,Cloudnine Hospitals,Cloudnine,Nagpur,Maharashtra,tier2,21.135516,79.043894,false,false,3.8,0.62,3029,621,47,354,0.57,59,4.3,true,true,false,false,false,150,1966,public,ophthalmology|dermatology|cardiology
hosp_012,Sahyadri Hospital,Sahyadri,Indore,Madhya Pradesh,tier2,22.696216,75.870609,true,false,4.7,0.81,11294,606,72,542,0.56,57,4.2,true,true,false,false,true,850,2022,private,urology|cardiology|gynecology|pediatrics|oncology|neurology
hosp_013,Medicover Institute of Medical Sciences,Medicover,Coimbatore,Tamil Nadu,tier2,11.003524,76.999451,true,false,4.7,0.89,9884,236,38,1146,0.43,44,5.8,true,true,true,true,false,500,2000,private,oncology|orthopedics|general_surgery
hosp_014,Spandan Multispeciality Hospital,Spandan,Surat,Gujarat,tier2,21.197206,72.853282,false,true,4.1,0.7,5695,304,51,1336,0.39,55,2.2,true,true,true,true,true,800,2006,private,gastroenterology|orthopedics|ent|general_surgery
hosp_015,Vijaya Care Hospital,Vijaya,Bhopal,Madhya Pradesh,tier3,23.298133,77.393772,true,false,3.8,0.73,6850,764,98,475,0.62,43,1.3,true,true,true,false,false,600,1988,private,cardiology|pediatrics|orthopedics|pulmonology
hosp_016,Metro Hospitals,Metro,Mumbai,Maharashtra,metro,19.137581,72.882859,true,true,4,0.72,20626,676,93,1377,0.58,79,4.1,false,false,false,true,false,650,1985,trust,neurology|cardiology|urology|pediatrics
hosp_017,Apollo Hospital,Apollo,Delhi,Delhi,metro,28.651452,77.19336,true,true,4.2,0.77,12571,591,60,457,0.62,54,5.3,false,true,true,true,true,750,2014,private,cardiology|orthopedics|pediatrics
hosp_018,Fortis Institute of Medical Sciences,Fortis,Bengaluru,Karnataka,metro,12.968715,77.628441,true,false,4.7,0.87,19764,395,61,1052,0.47,54,2.9,true,false,false,false,true,550,1997,private,gastroenterology|cardiology|oncology|gynecology
hosp_019,Manipal Multispeciality Hospital,Manipal,Hyderabad,Telangana,metro,17.42249,78.505761,true,false,4.8,0.84,6435,409,61,303,0.75,40,4.7,false,false,true,true,true,550,2004,private,orthopedics|gynecology|neurology
hosp_020,Max Care Hospital,Max,Chennai,Tamil Nadu,metro,13.083867,80.245349,true,false,4.2,0.77,1085,468,65,825,0.87,52,4,false,false,true,false,false,650,2011,trust,neurology|urology|cardiology
hosp_021,Narayana Hospitals,Narayana,Kolkata,West Bengal,metro,22.629752,88.364967,false,false,4.2,0.89,6948,794,102,507,0.66,41,4.2,false,false,true,true,false,350,2010,trust,cardiology|pulmonology|urology|ophthalmology|neurology
hosp_022,Aster Hospital,Aster,Pune,Maharashtra,tier2,18.527167,73.885129,true,false,3.8,0.97,10077,828,143,661,0.72,56,3.8,true,true,true,true,false,550,2013,private,gastroenterology|neurology|urology
hosp_023,Kokilaben Institute of Medical Sciences,Kokilaben,Ahmedabad,Gujarat,tier2,23.012963,72.54539,true,false,4.8,0.89,2761,683,79,1684,0.62,84,3.4,true,false,true,true,true,600,2015,private,oncology|pulmonology|orthopedics|gastroenterology
hosp_024,Lifeline Multispeciality Hospital,Lifeline,Jaipur,Rajasthan,tier2,26.924641,75.835806,true,false,4.3,0.81,6269,367,56,968,0.83,72,4.9,true,true,true,true,true,850,2019,private,orthopedics|cardiology|ent|urology
hosp_025,Care Care Hospital,Care,Lucknow,Uttar Pradesh,tier2,26.850623,80.970913,true,false,4.3,0.74,3454,220,24,1273,0.72,52,3,true,false,true,true,true,550,1996,private,cardiology|dermatology|gynecology|general_surgery
hosp_026,Park Hospitals,Park,Nagpur,Maharashtra,tier2,21.117156,79.117417,true,false,3.8,0.82,4968,148,18,651,0.81,43,2.2,true,true,true,true,true,600,1989,private,general_surgery|ophthalmology|orthopedics|neurology|dermatology|ent
hosp_027,Cloudnine Hospital,Cloudnine,Indore,Madhya Pradesh,tier2,22.732578,75.859557,false,false,3.3,0.73,11458,1809,89,714,0.5,75,4.4,false,true,true,false,false,120,1981,public,cardiology|orthopedics|dermatology|ent
hosp_028,Sahyadri Institute of Medical Sciences,Sahyadri,Coimbatore,Tamil Nadu,tier2,11.016893,76.933306,false,false,2.8,0.8,1448,1249,98,1237,0.78,93,4.8,true,true,true,false,false,60,1971,public,gynecology|cardiology|ophthalmology
hosp_029,Medicover Multispeciality Hospital,Medicover,Surat,Gujarat,tier2,21.12498,72.801545,false,false,4.9,0.81,433,844,145,825,0.79,68,4.2,true,true,true,false,true,450,2009,private,cardiology|orthopedics|neurology|gynecology
hosp_030,Spandan Care Hospital,Spandan,Bhopal,Madhya Pradesh,tier3,23.240383,77.392374,false,false,3.4,0.74,8561,947,74,564,0.57,54,4.6,true,true,true,true,true,170,1978,public,oncology|cardiology|gastroenterology|dermatology|pediatrics
hosp_031,Vijaya Hospitals,Vijaya,Mumbai,Maharashtra,metro,19.107346,72.87974,false,false,4.1,0.87,10670,182,21,436,0.59,73,3.7,true,false,true,true,false,800,2003,private,gynecology|oncology|ophthalmology|dermatology|cardiology
hosp_032,Metro Hospital,Metro,Delhi,Delhi,metro,28.613203,77.269105,true,false,4.3,0.82,10000,893,98,1398,0.72,95,3.2,true,true,true,true,true,950,2003,private,nephrology|orthopedics|gynecology|pediatrics|dermatology|neurology
hosp_033,Apollo Institute of Medical Sciences,Apollo,Bengaluru,Karnataka,metro,12.91526,77.562357,false,false,4,0.69,5646,530,64,514,0.49,61,4.7,true,false,false,true,false,800,1993,private,cardiology|orthopedics|pulmonology|urology|gynecology|nephrology
hosp_034,Fortis Multispeciality Hospital,Fortis,Hyderabad,Telangana,metro,17.339557,78.511574,true,false,4.1,0.85,20291,660,83,963,0.66,51,6.6,false,true,true,true,true,850,2014,private,oncology|orthopedics|cardiology|dermatology|ent
hosp_035,Manipal Care Hospital,Manipal,Chennai,Tamil Nadu,metro,13.035662,80.308528,false,false,4.2,0.85,9915,550,62,1714,0.53,69,5.3,true,true,true,true,false,700,2006,private,cardiology|pulmonology|nephrology|ophthalmology
hosp_036,Max Hospitals,Max,Kolkata,West Bengal,metro,22.616615,88.360474,true,false,4.6,0.88,5919,156,25,688,0.62,65,4.9,true,true,true,true,true,750,2006,private,nephrology|pediatrics|dermatology|pulmonology|orthopedics|general_surgery
hosp_037,Narayana Hospital,Narayana,Pune,Maharashtra,tier2,18.530084,73.822197,true,false,4.8,0.88,23272,825,140,1537,0.56,39,3.9,false,true,false,true,true,850,1995,private,cardiology|orthopedics|ophthalmology|gastroenterology
